epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.0642,1.13363,3.41051,1.57393,0.01288,0.9188,0.1525,0.08708,1.31163,4.18673,2.00045,0.000326389,0.000326389,0.000326389
2,120.961,1.17186,3.00365,1.63327,0.5738,0.16007,0.21089,0.11255,1.4279,3.72196,2.11628,0.00064666,0.00064666,0.00064666
3,180.137,1.20305,2.77523,1.63379,0.46065,0.25,0.23621,0.13468,1.6935,3.94435,2.35172,0.000953731,0.000953731,0.000953731
4,239.681,1.2472,2.73901,1.66155,0.51428,0.2037,0.31667,0.19619,1.45996,4.4718,2.14258,0.0009406,0.0009406,0.0009406
5,298.068,1.2256,2.54793,1.638,0.40124,0.32994,0.2647,0.15508,1.51128,4.03595,2.11,0.0009208,0.0009208,0.0009208
6,357.181,1.2066,2.5551,1.62294,0.26497,0.35142,0.32763,0.17882,1.65668,3.81402,2.27926,0.000901,0.000901,0.000901
7,415.942,1.20792,2.53702,1.64516,0.30657,0.29665,0.26765,0.13377,1.86637,3.53972,2.38216,0.0008812,0.0008812,0.0008812
8,474.432,1.1723,2.44562,1.59692,0.51838,0.33959,0.34647,0.164,1.71892,3.33509,2.3002,0.0008614,0.0008614,0.0008614
9,534.602,1.23176,2.37841,1.64366,0.4461,0.33364,0.30599,0.1695,1.67691,3.55509,2.20692,0.0008416,0.0008416,0.0008416
10,593.991,1.18615,2.31246,1.59166,0.35881,0.46474,0.38013,0.20222,1.54803,3.6891,2.20991,0.0008218,0.0008218,0.0008218
11,691.581,1.15346,2.14852,1.60381,0.38189,0.55955,0.48319,0.25009,1.51393,3.41703,2.17262,0.000802,0.000802,0.000802
12,751.582,1.10798,2.13936,1.5381,0.61464,0.44367,0.53689,0.2745,1.55896,3.15011,2.09859,0.0007822,0.0007822,0.0007822
13,809.919,1.12261,2.09997,1.53227,0.33618,0.61003,0.39565,0.23496,1.48342,3.7077,2.21914,0.0007624,0.0007624,0.0007624
14,869.118,1.10713,1.99071,1.50521,0.36677,0.48988,0.4445,0.25503,1.45574,2.76791,2.10497,0.0007426,0.0007426,0.0007426
15,928.005,1.12013,1.97936,1.52942,0.55023,0.36645,0.44466,0.26929,1.4613,2.82144,2.07183,0.0007228,0.0007228,0.0007228
16,986.382,1.05709,1.87421,1.46989,0.53333,0.43942,0.45022,0.25324,1.53882,2.79392,2.1961,0.000703,0.000703,0.000703
17,1044.8,1.07379,1.9098,1.49381,0.26708,0.39195,0.35857,0.21132,1.45168,3.04481,2.02085,0.0006832,0.0006832,0.0006832
18,1103.34,1.09627,1.89054,1.50418,0.51572,0.38589,0.4055,0.23683,1.56927,2.84664,2.20047,0.0006634,0.0006634,0.0006634
19,1162.3,1.09226,1.9014,1.4761,0.64019,0.35121,0.46373,0.28593,1.52625,2.70946,2.12945,0.0006436,0.0006436,0.0006436
20,1220.96,0.95245,1.77025,1.38053,0.5487,0.39342,0.44519,0.24197,1.5886,2.97773,2.20141,0.0006238,0.0006238,0.0006238
21,1280.07,1.01647,1.79185,1.45958,0.56145,0.43963,0.42994,0.2442,1.62684,2.76415,2.26898,0.000604,0.000604,0.000604
22,1338.36,0.99033,1.71314,1.41568,0.53993,0.4245,0.41899,0.23501,1.52977,2.77635,2.11119,0.0005842,0.0005842,0.0005842
23,1397.73,1.01342,1.67935,1.39969,0.62584,0.41923,0.40708,0.21603,1.6045,2.93328,2.18969,0.0005644,0.0005644,0.0005644
24,1457.49,0.9463,1.62918,1.39277,0.52537,0.48682,0.44394,0.25415,1.556,2.67869,2.15591,0.0005446,0.0005446,0.0005446
25,1516.57,0.95507,1.6402,1.37011,0.63365,0.4996,0.51361,0.30388,1.51975,2.81147,2.08125,0.0005248,0.0005248,0.0005248
26,1574.98,0.97133,1.71423,1.43926,0.4722,0.53806,0.44466,0.25361,1.56865,2.81804,2.1228,0.000505,0.000505,0.000505
27,1634.28,0.93515,1.61045,1.3631,0.60938,0.51228,0.54174,0.28285,1.56891,2.58477,2.09932,0.0004852,0.0004852,0.0004852
28,1692.7,0.92098,1.51368,1.35706,0.81906,0.4146,0.51542,0.27433,1.53027,2.54003,2.05452,0.0004654,0.0004654,0.0004654
29,1751.29,0.90808,1.51236,1.36782,0.61994,0.49349,0.55255,0.3307,1.58583,2.40056,2.09328,0.0004456,0.0004456,0.0004456
30,1809.89,0.91009,1.48936,1.37118,0.56306,0.54016,0.57691,0.32645,1.64401,2.38204,2.13946,0.0004258,0.0004258,0.0004258
31,1868.82,0.86505,1.45667,1.33952,0.68753,0.51348,0.60788,0.35833,1.58889,2.36605,2.08458,0.000406,0.000406,0.000406
32,1928.14,0.86462,1.47655,1.3222,0.77533,0.47352,0.61428,0.3493,1.46725,2.32292,1.98649,0.0003862,0.0003862,0.0003862
33,1987.16,0.83816,1.39614,1.27301,0.63156,0.48555,0.57356,0.32898,1.45745,2.24703,2.03824,0.0003664,0.0003664,0.0003664
34,2045.71,0.80711,1.29661,1.27992,0.57311,0.58855,0.59764,0.3511,1.43929,2.22162,2.04141,0.0003466,0.0003466,0.0003466
35,2104.49,0.86008,1.35406,1.31503,0.64524,0.53073,0.63509,0.37088,1.48415,2.22587,2.05922,0.0003268,0.0003268,0.0003268
36,2163.75,0.84071,1.36385,1.29813,0.61538,0.52849,0.60385,0.3402,1.57879,2.28598,2.12118,0.000307,0.000307,0.000307
37,2223.07,0.80609,1.27485,1.26463,0.68658,0.43375,0.54747,0.32204,1.63591,2.38236,2.16963,0.0002872,0.0002872,0.0002872
38,2281.63,0.78187,1.27349,1.26964,0.60441,0.55867,0.58141,0.33638,1.59623,2.25952,2.13225,0.0002674,0.0002674,0.0002674
39,2361.01,0.8173,1.33234,1.2865,0.75764,0.59711,0.68324,0.40052,1.57079,2.14653,2.13667,0.0002476,0.0002476,0.0002476
40,2456.63,0.77714,1.26917,1.2636,0.75785,0.59734,0.66649,0.36517,1.61388,2.09815,2.18937,0.0002278,0.0002278,0.0002278
41,2535.74,0.6669,1.34671,1.25908,0.68466,0.59312,0.65346,0.38241,1.53829,2.0904,2.1432,0.000208,0.000208,0.000208
42,2594.25,0.69671,1.42008,1.29684,0.68532,0.50033,0.61379,0.35291,1.52115,2.25814,2.12494,0.0001882,0.0001882,0.0001882
43,2652.24,0.61775,1.31814,1.20541,0.68496,0.50088,0.59811,0.35692,1.50615,2.34885,2.095,0.0001684,0.0001684,0.0001684
44,2710.87,0.59986,1.23829,1.22784,0.74142,0.48466,0.59401,0.36598,1.48472,2.2663,2.07589,0.0001486,0.0001486,0.0001486
45,2768.88,0.57853,1.14978,1.17232,0.71959,0.54132,0.59387,0.36527,1.47965,2.22105,2.09144,0.0001288,0.0001288,0.0001288
46,2826.64,0.5757,1.13171,1.1866,0.72303,0.56014,0.62676,0.38772,1.47237,2.24109,2.07923,0.000109,0.000109,0.000109
47,2883.83,0.58329,1.1027,1.18241,0.75348,0.52768,0.6057,0.37176,1.46626,2.27264,2.0842,8.92e-05,8.92e-05,8.92e-05
48,2941.7,0.55605,1.08675,1.17611,0.70514,0.52551,0.60258,0.36399,1.46696,2.28883,2.07124,6.94e-05,6.94e-05,6.94e-05
49,2999,0.52798,1.05783,1.11848,0.63723,0.5765,0.61621,0.36227,1.47573,2.25463,2.07099,4.96e-05,4.96e-05,4.96e-05
50,3056.92,0.55994,1.114,1.17726,0.67191,0.57669,0.61659,0.37142,1.48767,2.22942,2.08096,2.98e-05,2.98e-05,2.98e-05
